#ID ra dec P r ug gr ri iz gN gAmpl rN rAmpl iN iAmpl zQSO MiQSO cl
7910366 42.499073 -0.017829 3320.1875659 19.82 0.12 0.12 0.17 0.0 65 0.435 68 0.384 68 0.331 1.51 -25.128 QSO
7911306 32.500266 -1.035766 2257.5750758 18.81 0.67 -0.01 0.06 0.23 61 0.539 67 0.567 67 0.422 2.32 -27.042 QSO
7913279 7.500073 0.733596 3336.933305 18.89 0.08 0.28 -0.02 -0.05 60 0.56 61 0.455 63 0.463 1.09 -24.743 QSO
98 1.091033 0.962121 1.4836461 19.6 0.57 0.27 0.05 0.21 52 0.58 52 0.469 52 0.455 0.79 -23.399 QSO
233 0.331268 0.177229 1.4836461 20.16 0.18 -0.06 0.19 -0.12 54 0.376 57 0.3 55 0.249 1.62 -24.735 QSO
1018 1.364695 -0.098958 1.4836461 19.49 0.36 -0.03 0.19 0.01 60 0.54 62 0.476 59 0.425 0.61 -23.121 QSO
1327 0.281374 0.686985 1.4836461 19.64 0.07 0.16 0.06 -0.05 61 0.508 63 0.37 62 0.336 1.4 -24.917 QSO
1540 2.607953 0.913244 1.4836461 18.83 1.98 0.12 0.12 0.13 56 0.197 52 0.233 56 0.208 2.85 -27.263 QSO
2113 4.850278 -0.276375 1.4836461 20.35 -0.09 -0.14 0.35 0.03 51 0.374 51 0.383 55 0.335 1.77 -25.251 QSO
2401 1.725445 -0.259265 1.4836461 18.1 0.12 0.11 0.31 0.03 49 0.17 54 0.178 52 0.176 1.73 -27.19 QSO
2670 0.068465 -0.30927 1.4836461 17.77 0.46 0.16 0.09 0.05 52 0.234 55 0.17 56 0.19 0.7 -25.151 QSO
2860 3.926657 0.26313 1.4836461 19.99 0.65 0.05 -0.06 0.22 58 0.335 59 0.341 62 0.361 2.43 -25.568 QSO
2866 4.046196 -0.253442 1.4836461 19.8 0.36 0.42 0.39 0.16 53 0.442 52 0.446 52 0.515 1.58 -25.497 QSO
2867 3.865942 -0.590953 1.4836461 19.4 0.11 0.23 -0.07 -0.04 62 0.393 61 0.312 62 0.351 1.05 -24.352 QSO
